movieId,title,genres,description
1,Toy Story (1995),"Animation|Children|Comedy","A story of toys that come to life."
2,Jumanji (1995),"Adventure|Children|Fantasy","A magical board game releases jungle dangers."
3,Grumpier Old Men (1995),"Comedy|Romance","Two old rivals still bicker and fight."
4,Waiting to Exhale (1995),"Comedy|Drama|Romance","Four women navigate relationships and careers."
5,Father of the Bride Part II (1995),"Comedy","A father deals with surprising pregnancy news."
6,Heat (1995),"Action|Crime|Thriller","A gripping cat-and-mouse chase between police and criminals."
7,Sabrina (1995),"Comedy|Romance","A charming story of love, class, and personal transformation."
8,Tom and Huck (1995),"Adventure|Children","The classic tale of adventurous young boys."
9,Sudden Death (1995),"Action|Thriller","A high-stakes action film set inside a stadium."
10,GoldenEye (1995),"Action|Adventure|Thriller","James Bond faces a powerful new threat."
